; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          59
; Pressure [atm]: npro=         120
; Data: nlat x npro:           59 x          120
; 
; Latitude:
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN     0.325027
     0.652126     0.958060      1.18178      1.37105      1.51226      1.55397
      1.46356      1.19709     0.821543         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN     0.191296
      1.19667      1.52207      1.46437      1.12136     0.465403         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN     0.333387     0.820458      1.07836      1.13139
     0.943222         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN     0.401665     0.834122         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN      1.18682      1.70109      1.99250      2.26546      2.06745
      1.31295         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
      4.30129      4.22805      4.07725      4.10554      4.24836      4.48465
      4.82099      5.21365      5.48131      5.68618      5.89313      5.90696
      5.76134      5.67128      5.65389      5.61931      5.85652      6.39234
      6.88307      7.28535      7.27989      6.88323      6.23177      5.39944
      4.41569      3.91946      3.85660      3.81838      3.64855      3.35972
      3.30194      3.43425      3.50177      3.84258      4.24672      4.57644
      5.51730      6.22385      6.70311      7.12611      7.38674      7.00021
      6.52674      6.07144      5.76582      5.15434      4.62747      4.28558
      3.96473      3.26626      2.99105      2.74089      2.56336      2.67325
      3.13700      3.34927      2.72781      3.30842         -NaN
      8.08148      8.27666      8.26286      8.18630      8.12369      8.14695
      8.16082      8.24588      8.47738      8.72898      8.94414      9.09812
      9.18555      9.29675      9.28444      9.22876      9.34838      9.70358
      10.1764      10.8261      11.1587      11.0249      10.6836      10.1357
      9.41954      8.98554      8.93525      8.91646      8.73435      8.45025
      8.23457      8.05356      7.78631      7.65201      7.59637      7.70827
      9.36818      11.0246      12.4302      13.5570      14.3574      14.0638
      13.4367      12.7441      12.2504      11.5203      10.8337      10.2107
      9.61144      8.73719      8.11715      7.38287      6.97954      7.04217
      7.78377      8.47158      8.85760      9.81054      8.02236
      9.24676      9.83945      10.0178      9.85212      9.47422      9.07594
      8.43915      7.79058      7.82235      8.13999      8.40234      8.91670
      9.53657      9.99317      10.0297      9.95760      9.70297      9.38109
      9.40961      10.0352      10.7595      11.1749      11.4884      11.5694
      11.3972      11.0872      11.0149      10.9931      10.8332      10.6199
      10.2774      9.76122      9.14617      8.47242      7.91361      7.86808
      9.83263      11.9393      13.8901      15.4152      16.5296      16.6459
      16.3899      15.9001      15.3919      14.6959      13.8867      12.9809
      12.1288      11.1912      10.3735      9.41138      8.95461      9.00629
      9.74939      10.4093      11.4021      11.5279      12.1035
      6.28145      6.42100      6.80047      6.83975      6.65364      6.49929
      6.00154      5.03510      4.69128      4.98330      5.20349      6.11720
      7.45530      8.48863      8.98057      9.27194      8.97451      8.04902
      6.85122      5.53225      5.49912      6.36850      7.23633      8.13228
      9.02666      9.08780      8.82831      8.75706      8.94732      9.34393
      9.35886      9.12276      8.89583      8.16408      7.20893      6.73351
      6.33968      5.98968      6.29549      6.83378      7.45515      8.51301
      9.84961      10.8278      11.2618      11.7377      11.6894      11.0466
      10.3229      9.83486      9.10854      8.61094      8.56216      8.69010
      8.42289      7.75402      8.35261      3.45104      10.2594
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN      2.75658      4.66540      5.68526      5.74149      4.48988
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN      2.59048      4.25309      4.10758      2.65106         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN      1.88480      2.35310      3.97408      4.89502      4.92031
      1.53026         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN      2.62923      3.25100      3.27784      2.55625
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN     0.390041      4.62535      5.87063      6.02778
      5.08150      3.10848         -NaN         -NaN         -NaN
      11.9194      11.6714      11.4114      11.0827      10.8033      10.4864
      10.2301      10.1437      10.1399      10.1573      10.4181      10.6888
      10.8182      10.8306      10.7894      10.5898      10.4305      10.4437
      10.6518      10.7790      10.6557      10.2320      9.65973      8.94775
      8.42257      8.18252      8.15312      8.14485      8.14616      8.09280
      8.15900      8.39940      8.62690      8.90623      9.13004      9.23541
      9.17694      9.33862      9.60861      10.0697      10.6637      11.2884
      11.5585      11.6233      11.4586      10.8629      10.2004      9.77878
      9.51235      9.54472      10.1735      10.9021      11.3958      11.6352
      11.7569      11.7489      11.3786      11.8352      10.6672
      16.3745      15.9593      15.8144      15.5738      15.3782      15.1594
      14.9025      14.7116      14.6162      14.6262      14.7682      14.9674
      15.1842      15.3519      15.4014      15.3824      15.3550      15.3033
      15.2631      15.1999      15.0857      14.7989      14.5488      14.2962
      14.1199      13.9480      13.8987      13.7685      13.6427      13.5377
      13.4915      13.5100      13.5518      13.5827      13.5639      13.5211
      13.4149      13.3089      13.1595      13.0177      12.9749      13.1384
      13.4591      13.8892      14.2150      14.4531      14.5034      14.3583
      14.1606      14.1150      14.0745      14.1232      14.2449      14.3722
      14.4696      14.6724      14.7119      15.1491      14.4479
      17.6999      17.2064      17.0145      16.8397      16.7284      16.6123
      16.4746      16.3642      16.2057      16.1019      16.0508      16.0766
      16.2232      16.4468      16.6526      16.8557      17.0147      17.0377
      16.9386      16.8471      16.7098      16.5377      16.4522      16.4033
      16.3032      16.1962      16.0928      15.8967      15.7195      15.5902
      15.5478      15.5591      15.6320      15.6857      15.7063      15.6772
      15.7172      15.7235      15.7108      15.5702      15.3616      15.0018
      14.7418      14.6290      14.6619      14.9757      15.3388      15.5335
      15.6416      15.7518      15.6030      15.4700      15.4656      15.5376
      15.7676      16.2141      16.5301      17.4916      16.7918
      17.7765      17.5785      17.3831      17.2745      17.1860      17.0796
      16.9970      16.9397      16.8004      16.6206      16.4461      16.3126
      16.2669      16.3688      16.6217      16.9456      17.2595      17.5114
      17.7013      17.9665      18.0198      17.9701      17.9367      17.8565
      17.5802      17.4373      17.3486      17.1790      16.9474      16.7373
      16.6860      16.7068      16.7884      16.9647      17.1701      17.2874
      17.7319      18.2569      18.8074      19.1999      19.4146      19.0335
      18.3264      17.5117      16.8943      16.4310      16.3060      16.4263
      16.6105      16.7026      16.7535      16.7632      16.8388      16.9832
      17.5026      18.1475      18.5993      19.9694      19.0182
      17.1602      17.7216      17.6269      17.6447      17.5377      17.3488
      17.2160      17.1419      17.0965      16.9720      16.8632      16.7153
      16.5559      16.5385      16.7665      17.1190      17.5371      18.0432
      18.6158      19.2914      19.5688      19.5734      19.4815      19.2255
      18.6916      18.4304      18.3613      18.2524      17.9943      17.7261
      17.6765      17.7138      17.7669      18.0330      18.4084      18.6890
      19.4495      20.3404      21.2240      21.9308      22.4535      22.2944
      21.6612      20.7760      20.0041      18.9614      18.1883      17.8963
      17.8415      17.7069      17.9529      18.2034      18.4507      18.7210
      19.4121      20.0821      20.4962      21.7928      20.7748
      16.5429      18.0589      18.0681      18.2271      18.0540      17.6962
      17.3969      17.2249      17.2498      17.2468      17.3394      17.3219
      17.1993      17.1680      17.3800      17.7383      18.2284      18.9073
      19.7055      20.5423      20.9136      20.8832      20.6752      20.2625
      19.5942      19.2110      19.1409      19.0856      18.8315      18.5538
      18.5236      18.5685      18.5680      18.8476      19.3164      19.6992
      20.5225      21.4457      22.2991      22.9486      23.4592      23.4720
      23.1300      22.5605      22.0384      20.9649      19.9256      19.2753
      18.9243      18.5582      18.8869      19.3340      19.7346      20.0837
      20.7618      21.3239      21.6078      22.5830      21.7029
      16.8236      18.8466      18.9021      19.1103      18.8764      18.3866
      17.9183      17.6272      17.6648      17.7390      17.9916      18.1211
      18.0953      18.0928      18.3068      18.6735      19.1867      19.8869
      20.6771      21.3906      21.6855      21.5633      21.2621      20.7978
      20.1728      19.7612      19.7007      19.6893      19.4875      19.2537
      19.2530      19.2915      19.2238      19.4426      19.8995      20.2800
      20.9584      21.6939      22.3059      22.7021      23.0107      23.0813
      22.9986      22.7944      22.6105      21.8321      20.8972      20.1444
      19.6494      19.1932      19.5095      20.0264      20.4808      20.8247
      21.3784      21.7930      21.9535      22.6299      21.9322
      17.9831      19.8253      19.8968      20.0694      19.8317      19.3338
      18.8159      18.4717      18.4753      18.5518      18.8366      19.0272
      19.0492      19.0500      19.2458      19.5785      20.0347      20.6240
      21.2338      21.6811      21.8131      21.6069      21.2717      20.8682
      20.4022      20.0687      20.0412      20.0880      19.9825      19.8404
      19.8663      19.8875      19.7578      19.8650      20.2097      20.5010
      20.9325      21.3863      21.6942      21.7969      21.8562      21.9056
      21.9811      22.0585      22.1522      21.7608      21.1288      20.5074
      20.0496      19.6500      19.8962      20.3481      20.7367      21.0006
      21.3902      21.6760      21.7607      22.2541      21.6975
      19.3893      20.6739      20.7417      20.8456      20.6519      20.2557
      19.8157      19.5140      19.4834      19.5336      19.7531      19.9112
      19.9093      19.8709      19.9947      20.2298      20.5569      20.9495
      21.3087      21.4773      21.4460      21.1969      20.9000      20.6299
      20.3694      20.1794      20.2095      20.3213      20.3272      20.3031
      20.3379      20.3248      20.1531      20.1412      20.3146      20.4726
      20.6520      20.8138      20.8318      20.6733      20.5130      20.4998
      20.6420      20.8983      21.1835      21.1650      20.8985      20.5503
      20.2514      19.9931      20.1411      20.4333      20.6775      20.8279
      21.0583      21.2442      21.2962      21.6983      21.2107
      20.5665      21.2353      21.2994      21.3373      21.2139      20.9659
      20.6650      20.4536      20.4154      20.4343      20.5529      20.6356
      20.5766      20.4714      20.4850      20.5776      20.7335      20.9016
      21.0174      20.9603      20.8025      20.5533      20.3491      20.2289
      20.1699      20.1471      20.2425      20.4026      20.5224      20.6112
      20.6488      20.6048      20.4187      20.2966      20.2838      20.2969
      20.2577      20.1590      19.9327      19.5751      19.2475      19.1615
      19.3193      19.6833      20.0884      20.3855      20.4721      20.4411
      20.3513      20.2639      20.3139      20.4143      20.4868      20.5157
      20.6090      20.7190      20.7591      21.1049      20.6532
      21.8718      21.9850      22.0298      22.0122      21.9575      21.8629
      21.7210      21.6130      21.5742      21.5671      21.5783      21.5672
      21.4389      21.2647      21.1516      21.0812      21.0519      21.0102
